  PID STAT %MEM      TIME COMMAND
 2037 R     3.0   5:00.46 /Applications/Backup and Sync.app/Contents/MacOS/Backup and Sync
  149 Ss    0.4  18:54.85 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
   67 Ss    0.2   0:31.32 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
 2095 S     0.2   0:00.90 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
 2100 S     0.2   0:00.90 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
 1422 S     5.5   5:12.34 /Applications/iTerm.app/Contents/MacOS/iTerm2
 2105 S     0.2   0:00.30 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
  210 Ss    1.2   0:56.06 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
  301 S     1.4   4:27.30 /Applications/TeamViewer.app/Contents/MacOS/TeamViewer -RunAsAgent YES
  PID STAT  %CPU      TIME COMMAND
 2037 R    103.5   5:03.22 /Applications/Backup and Sync.app/Contents/MacOS/Backup and Sync
  149 Ss     6.0  18:55.05 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
 1422 S      4.2   5:12.50 /Applications/iTerm.app/Contents/MacOS/iTerm2
 2100 S      3.1   0:00.98 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
 2096 S      2.1   0:00.46 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
 2105 S      1.7   0:00.38 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
  301 S      1.7   4:27.35 /Applications/TeamViewer.app/Contents/MacOS/TeamViewer -RunAsAgent YES
   67 Ss     1.6   0:31.39 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
 2095 S      1.6   0:00.96 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
